Date, Organic keywords: 1–3, Organic keywords: 4–10
2024-10-24, 0, 0
2024-10-25, 0, 0
2024-10-26, 0, 0
2024-10-27, 0, 0
2024-10-28, 0, 0
2024-10-29, 0, 0
2024-10-30, 0, 0
2024-10-31, 0, 0
2024-11-01, 0, 0
2024-11-02, 0, 0
2024-11-03, 0, 0
2024-11-04, 0, 0
2024-11-05, 0, 0
2024-11-06, 0, 0
2024-11-07, 0, 0
2024-11-08, 0, 0
2024-11-09, 0, 0
2024-11-10, 0, 0
2024-11-11, 0, 0
2024-11-12, 0, 0
2024-11-13, 0, 0
2024-11-14, 0, 0
2024-11-15, 0, 0
2024-11-16, 0, 0
2024-11-17, 0, 0
2024-11-18, 0, 0
2024-11-19, 0, 0
2024-11-20, 0, 0
2024-11-21, 0, 0
2024-11-22, 0, 0
2024-11-23, 0, 0
2024-11-24, 0, 0
2024-11-25, 0, 0
2024-11-26, 0, 0
2024-11-27, 0, 0
2024-11-28, 0, 0
2024-11-29, 0, 0
2024-11-30, 0, 0
2024-12-01, 0, 0
2024-12-02, 0, 0
2024-12-03, 0, 0
2024-12-04, 0, 0
2024-12-05, 0, 0
2024-12-06, 0, 0
2024-12-07, 0, 0
2024-12-08, 0, 0
2024-12-09, 0, 0
2024-12-10, 0, 0
2024-12-11, 0, 0
2024-12-12, 0, 0
2024-12-13, 0, 0
2024-12-14, 0, 0
2024-12-15, 0, 0
2024-12-16, 0, 0
2024-12-17, 0, 0
2024-12-18, 0, 0
2024-12-19, 0, 0
2024-12-20, 0, 0
2024-12-21, 0, 0
2024-12-22, 0, 0
2024-12-23, 0, 0
2024-12-24, 0, 0
2024-12-25, 0, 0
2024-12-26, 0, 0
2024-12-27, 0, 0
2024-12-28, 0, 0
2024-12-29, 0, 0
2024-12-30, 0, 0
2024-12-31, 0, 0
2025-01-01, 0, 0
2025-01-02, 0, 0
2025-01-03, 0, 0
2025-01-04, 0, 0
2025-01-05, 0, 0
2025-01-06, 0, 0
2025-01-07, 0, 0
2025-01-08, 0, 0
2025-01-09, 0, 0
2025-01-10, 0, 0
2025-01-11, 0, 0
2025-01-12, 0, 0
2025-01-13, 0, 0
2025-01-14, 0, 0
2025-01-15, 0, 0
2025-01-16, 0, 0
2025-01-17, 0, 0
2025-01-18, 0, 0
2025-01-19, 0, 0
2025-01-20, 0, 0
2025-01-21, 0, 0
2025-01-22, 0, 0
2025-01-23, 0, 0
2025-01-24, 0, 0
2025-01-25, 0, 0
2025-01-26, 0, 0
2025-01-27, 0, 0
2025-01-28, 0, 0
2025-01-29, 0, 0
2025-01-30, 0, 0
2025-01-31, 0, 0
2025-02-01, 0, 0
2025-02-02, 0, 0
2025-02-03, 0, 0
2025-02-04, 0, 0
2025-02-05, 0, 0
2025-02-06, 0, 0
2025-02-07, 0, 0
2025-02-08, 0, 0
2025-02-09, 0, 0
2025-02-10, 0, 0
2025-02-11, 0, 0
2025-02-12, 0, 0
2025-02-13, 0, 0
2025-02-14, 0, 0
2025-02-15, 0, 0
2025-02-16, 0, 0
2025-02-17, 0, 0
2025-02-18, 0, 0
2025-02-19, 0, 0
2025-02-20, 0, 0
2025-02-21, 0, 0
2025-02-22, 0, 0
2025-02-23, 0, 0
2025-02-24, 0, 0
2025-02-25, 0, 0
2025-02-26, 0, 0
2025-02-27, 0, 0
2025-02-28, 0, 0
2025-03-01, 0, 0
2025-03-02, 0, 0
2025-03-03, 0, 0
2025-03-04, 0, 0
2025-03-05, 0, 0
2025-03-06, 0, 0
2025-03-07, 0, 0
2025-03-08, 0, 0
2025-03-09, 0, 0
2025-03-10, 0, 0
2025-03-11, 0, 0
2025-03-12, 0, 0
2025-03-13, 0, 0
2025-03-14, 0, 0
2025-03-15, 0, 0
2025-03-16, 0, 0
2025-03-17, 0, 0
2025-03-18, 0, 0
2025-03-19, 0, 0
2025-03-20, 0, 0
2025-03-21, 0, 0
2025-03-22, 0, 0
2025-03-23, 0, 0
2025-03-24, 0, 0
2025-03-25, 0, 0
2025-03-26, 0, 0
2025-03-27, 0, 0
2025-03-28, 0, 0
2025-03-29, 0, 0
2025-03-30, 0, 0
2025-03-31, 0, 0
2025-04-01, 0, 0
2025-04-02, 0, 0
2025-04-03, 0, 0
2025-04-04, 0, 0
2025-04-05, 0, 0
2025-04-06, 0, 0
2025-04-07, 0, 0
2025-04-08, 0, 0
2025-04-09, 0, 0
2025-04-10, 0, 0
2025-04-11, 0, 0
2025-04-12, 0, 0
2025-04-13, 0, 0
2025-04-14, 0, 0
2025-04-15, 0, 0
2025-04-16, 0, 0
2025-04-17, 0, 0
2025-04-18, 0, 0
2025-04-19, 0, 0
2025-04-20, 0, 0
2025-04-21, 0, 0
2025-04-22, 0, 0
2025-04-23, 0, 0
2025-04-24, 0, 0
2025-04-25, 0, 0
2025-04-26, 0, 0
2025-04-27, 0, 0
2025-04-28, 0, 0
2025-04-29, 0, 0
2025-04-30, 0, 0
2025-05-01, 0, 0
2025-05-02, 0, 0
2025-05-03, 0, 0
2025-05-04, 0, 0
2025-05-05, 0, 0
2025-05-06, 0, 0
2025-05-07, 0, 0
2025-05-08, 0, 0
2025-05-09, 0, 0
2025-05-10, 0, 0
2025-05-11, 0, 0
2025-05-12, 0, 0
2025-05-13, 0, 0
2025-05-14, 0, 0
2025-05-15, 0, 0
2025-05-16, 0, 0
2025-05-17, 0, 0
2025-05-18, 0, 0
2025-05-19, 0, 0
2025-05-20, 0, 0
2025-05-21, 0, 0
2025-05-22, 0, 0
2025-05-23, 0, 0
2025-05-24, 0, 0
2025-05-25, 0, 0
2025-05-26, 0, 0
2025-05-27, 0, 0
2025-05-28, 0, 0
2025-05-29, 0, 0
2025-05-30, 0, 0
2025-05-31, 0, 0
2025-06-01, 0, 0
2025-06-02, 0, 0
2025-06-03, 0, 0
2025-06-04, 0, 0
2025-06-05, 0, 0
2025-06-06, 0, 0
2025-06-07, 0, 0
2025-06-08, 0, 0
2025-06-09, 0, 0
2025-06-10, 0, 0
2025-06-11, 0, 0
2025-06-12, 0, 0
2025-06-13, 0, 0
2025-06-14, 0, 0
2025-06-15, 0, 0
2025-06-16, 0, 0
2025-06-17, 0, 0
2025-06-18, 0, 0
2025-06-19, 0, 0
2025-06-20, 0, 0
2025-06-21, 0, 0
2025-06-22, 0, 0
2025-06-23, 0, 0
2025-06-24, 0, 0
2025-06-25, 0, 0
2025-06-26, 0, 0
2025-06-27, 0, 0
2025-06-28, 0, 0
2025-06-29, 0, 0
2025-06-30, 0, 0
2025-07-01, 0, 0
2025-07-02, 0, 0
2025-07-03, 0, 0
2025-07-04, 0, 0
2025-07-05, 0, 0
2025-07-06, 0, 0
2025-07-07, 0, 0
2025-07-08, 0, 0
2025-07-09, 0, 0
2025-07-10, 0, 0
2025-07-11, 0, 0
2025-07-12, 0, 0
2025-07-13, 0, 0
2025-07-14, 0, 0
2025-07-15, 0, 0
2025-07-16, 0, 0
2025-07-17, 0, 0
2025-07-18, 0, 0
2025-07-19, 0, 0
2025-07-20, 0, 0
2025-07-21, 0, 0
2025-07-22, 0, 0
2025-07-23, 0, 0
2025-07-24, 0, 0
2025-07-25, 0, 0
2025-07-26, 0, 0
2025-07-27, 0, 0
2025-07-28, 0, 0
2025-07-29, 0, 0
2025-07-30, 0, 0
2025-07-31, 0, 0
2025-08-01, 0, 0
2025-08-02, 0, 0
2025-08-03, 0, 0
2025-08-04, 0, 0
2025-08-05, 0, 0
2025-08-06, 0, 0
2025-08-07, 0, 0
2025-08-08, 0, 0
2025-08-09, 0, 0
2025-08-10, 0, 0
2025-08-11, 0, 0
2025-08-12, 0, 0
2025-08-13, 0, 0
2025-08-14, 0, 0
2025-08-15, 0, 0
2025-08-16, 0, 0
2025-08-17, 0, 0
2025-08-18, 0, 0
2025-08-19, 0, 0
2025-08-20, 0, 0
2025-08-21, 0, 0
2025-08-22, 0, 0
2025-08-23, 0, 0
2025-08-24, 0, 0
2025-08-25, 0, 0
2025-08-26, 0, 0
2025-08-27, 0, 0
2025-08-28, 0, 0
2025-08-29, 0, 0
2025-08-30, 0, 0
2025-08-31, 0, 0
2025-09-01, 0, 0
2025-09-02, 0, 0
2025-09-03, 0, 0
2025-09-04, 0, 0
2025-09-05, 0, 0
2025-09-06, 0, 0
2025-09-07, 0, 0
2025-09-08, 0, 0
2025-09-09, 0, 0
2025-09-10, 0, 0
2025-09-11, 0, 0
2025-09-12, 0, 0
2025-09-13, 0, 0
2025-09-14, 0, 0
2025-09-15, 0, 0
2025-09-16, 0, 0
2025-09-17, 0, 0
2025-09-18, 0, 0
2025-09-19, 0, 0
2025-09-20, 0, 0
2025-09-21, 0, 0
2025-09-22, 0, 0
2025-09-23, 0, 0
2025-09-24, 0, 0
2025-09-25, 0, 0
2025-09-26, 0, 0
2025-09-27, 0, 0
2025-09-28, 0, 0
2025-09-29, 0, 1
2025-09-30, 0, 2
2025-10-01, 0, 6
2025-10-02, 0, 7
2025-10-03, 0, 14
2025-10-04, 0, 16
2025-10-05, 1, 20
2025-10-06, 1, 23
2025-10-07, 1, 24
2025-10-08, 1, 26
2025-10-09, 1, 28
2025-10-10, 1, 29
2025-10-11, 1, 33
2025-10-12, 1, 35
2025-10-13, 1, 51
2025-10-14, 2, 56
2025-10-15, 4, 65
2025-10-16, 4, 73
2025-10-17, 4, 83
2025-10-18, 8, 91
2025-10-19, 10, 102
2025-10-20, 11, 110
2025-10-21, 12, 117
2025-10-22, 13, 123
2025-10-23, 14, 130
2025-10-24, 15, 135
2025-10-25, 15, 138
2025-10-26, 15, 139
2025-10-27, 16, 141
2025-10-28, 17, 144
2025-10-29, 17, 154
2025-10-30, 17, 158
2025-10-31, 17, 161
2025-11-01, 19, 174
2025-11-02, 20, 175
2025-11-03, 22, 182
2025-11-04, 22, 183
2025-11-05, 24, 186
2025-11-06, 28, 188
2025-11-07, 28, 193
2025-11-08, 28, 197
2025-11-09, 32, 192
2025-11-10, 32, 196
2025-11-11, 34, 196
2025-11-12, 34, 201
2025-11-13, 36, 202
2025-11-14, 36, 203
2025-11-15, 37, 202
2025-11-16, 39, 205
2025-11-17, 43, 206
2025-11-18, 45, 206
2025-11-19, 46, 200
2025-11-20, 46, 200
2025-11-21, 46, 199
2025-11-22, 46, 196
2025-11-23, 46, 196
2025-11-24, 46, 203
2025-11-25, 45, 202
2025-11-26, 47, 201
2025-11-27, 46, 206
2025-11-28, 47, 212
2025-11-29, 45, 213
2025-11-30, 45, 214
2025-12-01, 45, 214
2025-12-02, 45, 214
2025-12-03, 43, 218
2025-12-04, 42, 221
2025-12-05, 42, 221
2025-12-06, 42, 221
2025-12-07, 42, 221
2025-12-08, 42, 222
2025-12-09, 42, 222
2025-12-10, 41, 221
2025-12-11, 41, 221
2025-12-12, 41, 221
2025-12-13, 40, 221
2025-12-14, 40, 223
2025-12-15, 40, 224
2025-12-16, 39, 223
2025-12-17, 39, 221
2025-12-18, 40, 221
2025-12-19, 40, 222
2025-12-20, 40, 222
2025-12-21, 41, 223
2025-12-22, 41, 226
2025-12-23, 41, 228
2025-12-24, 40, 230
2025-12-25, 38, 228
2025-12-26, 38, 234
2025-12-27, 38, 239
2025-12-28, 38, 235
2025-12-29, 40, 238
2025-12-30, 40, 238
2025-12-31, 39, 240
2026-01-01, 38, 244
2026-01-02, 39, 241
2026-01-03, 38, 244
2026-01-04, 36, 246
2026-01-05, 34, 247
2026-01-06, 35, 253
2026-01-07, 35, 250
2026-01-08, 36, 248
2026-01-09, 36, 248
2026-01-10, 38, 244
2026-01-11, 38, 245
2026-01-12, 39, 246
2026-01-13, 39, 247
2026-01-14, 40, 249
2026-01-15, 39, 251
2026-01-16, 38, 251
2026-01-17, 38, 255
2026-01-18, 38, 256
2026-01-19, 38, 254
2026-01-20, 38, 254
2026-01-21, 38, 255
2026-01-22, 38, 255
2026-01-23, 37, 253
2026-01-24, 37, 255
2026-01-25, 38, 255
2026-01-26, 38, 256
2026-01-27, 39, 256
2026-01-28, 40, 255
2026-01-29, 41, 251
2026-01-30, 43, 244
2026-01-31, 43, 241
2026-02-01, 44, 240
2026-02-02, 43, 239
2026-02-03, 41, 241
2026-02-04, 41, 241
2026-02-05, 39, 240
2026-02-06, 38, 238
2026-02-07, 37, 239
2026-02-08, 37, 235
2026-02-09, 36, 234
2026-02-10, 36, 234
2026-02-11, 37, 230
2026-02-12, 38, 229
2026-02-13, 38, 224
2026-02-14, 38, 220
2026-02-15, 39, 220
2026-02-16, 41, 216
2026-02-17, 39, 217
2026-02-18, 42, 209
2026-02-19, 41, 206
2026-02-20, 40, 206
2026-02-21, 40, 203
2026-02-22, 39, 200
2026-02-23, 39, 198
2026-02-24, 39, 199
2026-02-25, 39, 198
2026-02-26, 39, 197
2026-02-27, 39, 197
2026-02-28, 37, 199
2026-03-01, 37, 200
2026-03-02, 37, 197
2026-03-03, 37, 197
2026-03-04, 37, 197
2026-03-05, 36, 199
2026-03-06, 35, 199
2026-03-07, 35, 201
2026-03-08, 36, 201
2026-03-09, 35, 199
2026-03-10, 35, 204
2026-03-11, 34, 206
2026-03-12, 34, 206
2026-03-13, 34, 206
2026-03-14, 34, 206
2026-03-15, 33, 206
2026-03-16, 33, 212
2026-03-17, 35, 212
2026-03-18, 36, 208
2026-03-19, 38, 206
2026-03-20, 38, 211
2026-03-21, 36, 210
2026-03-22, 36, 210
2026-03-23, 35, 205
2026-03-24, 36, 201
2026-03-25, 37, 199
2026-03-26, 38, 197
2026-03-27, 39, 196
2026-03-28, 38, 195
2026-03-29, 38, 193
2026-03-30, 40, 191
2026-03-31, 41, 193
2026-04-01, 41, 192
2026-04-02, 41, 192
2026-04-03, 41, 191
2026-04-04, 43, 187
2026-04-05, 44, 187
2026-04-06, 44, 186
2026-04-07, 45, 188
2026-04-08, 46, 189
2026-04-09, 45, 188
2026-04-10, 46, 187
2026-04-11, 46, 183
2026-04-12, 46, 183
2026-04-13, 46, 184
2026-04-14, 46, 174
2026-04-15, 46, 171
2026-04-16, 45, 174
2026-04-17, 44, 170
2026-04-18, 43, 168
2026-04-19, 43, 166
2026-04-20, 41, 168
2026-04-21, 40, 164
2026-04-22, 38, 159
2026-04-23, 37, 160
2026-04-24, 37, 160
2026-04-25, 36, 161
2026-04-26, 36, 159
2026-04-27, 36, 162
2026-04-28, 35, 162
2026-04-29, 34, 161
2026-04-30, 33, 163
2026-05-01, 32, 162
2026-05-02, 31, 159
2026-05-03, 27, 156
2026-05-04, 28, 154
2026-05-05, 27, 155
2026-05-06, 28, 149
2026-05-07, 28, 147
2026-05-08, 27, 146
2026-05-09, 27, 145
2026-05-10, 28, 142
2026-05-11, 28, 142
2026-05-12, 28, 141
2026-05-13, 28, 143
2026-05-14, 29, 143
2026-05-15, 29, 142
2026-05-16, 28, 148
2026-05-17, 29, 148
2026-05-18, 30, 149
2026-05-19, 31, 154
2026-05-20, 33, 159
2026-05-21, 38, 160
2026-05-22, 39, 160
2026-05-23, 42, 164
2026-05-24, 45, 165
2026-05-25, 47, 168
2026-05-26, 50, 166
2026-05-27, 50, 168
2026-05-28, 51, 174
2026-05-29, 51, 176
2026-05-30, 51, 176
2026-05-31, 51, 176
2026-06-01, 50, 177
2026-06-02, 51, 180
2026-06-03, 52, 181
2026-06-04, 52, 183
2026-06-05, 55, 182
2026-06-06, 56, 183
2026-06-07, 55, 185
2026-06-08, 56, 191
2026-06-09, 55, 195
2026-06-10, 54, 201
2026-06-11, 55, 202
2026-06-12, 57, 201
2026-06-13, 57, 202
2026-06-14, 58, 200
2026-06-15, 57, 202
2026-06-16, 57, 200
2026-06-17, 59, 203
2026-06-18, 59, 205
2026-06-19, 58, 205
2026-06-20, 59, 207
2026-06-21, 58, 210
2026-06-22, 58, 213
2026-06-23, 58, 214
2026-06-24, 57, 217
2026-06-25, 57, 216
2026-06-26, 56, 219
2026-06-27, 54, 220
2026-06-28, 52, 221
2026-06-29, 52, 223
2026-06-30, 51, 220
2026-07-01, 48, 218
2026-07-02, 45, 222
2026-07-03, 42, 226
2026-07-04, 43, 225
2026-07-05, 43, 224
2026-07-06, 45, 222
2026-07-07, 44, 222
2026-07-08, 45, 220
2026-07-09, 46, 216
2026-07-10, 46, 215
2026-07-11, 46, 218
2026-07-12, 46, 217
2026-07-13, 45, 218
2026-07-14, 45, 220
